Name;r;g;b;color;h;s;l
P/Gr;152;144;148;;0,90625;0,037209302;0,578431373
P/Dl;90;93;146;;0,656342183;0,239915074;0,461764706
P/Dp;81;33;118;;0,760784314;0,562913907;0,296078431
P/Dk;64;32;101;;0,742753623;0,518796992;0,260784314
P/Dgr;49;29;70;;0,74796748;0,414141414;0,194117647
RP/V;198;35;103;;0,930470348;0,702586207;0,454901961
RP/S;181;81;110;;0,952261307;0,400402414;0,512745098
RP/B;224;122;146;;0,961601307;0,62195122;0,678431373
RP/P;234;187;200;;0,954385965;0,530726257;0,824509804
RP/Vp;244;222;230;;0,935606061;0,488888889;0,911764706
RP/Lgr;206;186;187;;0,987804878;0,172995781;0,767647059
RP/L;211;152;161;;0,975783476;0,396610169;0,710784314
RP/Gr;164;138;139;;0,996732026;0,122302158;0,591176471
RP/Dl;140;87;103;;0,950155763;0,236203091;0,444117647
RP/Dp;124;35;69;;0,935393258;0,563291139;0,309803922
RP/Dk;96;31;53;;0,944444444;0,509881423;0,248039216
RP/Dgr;69;28;51;;0,907630522;0,430051813;0,189215686
N9.5;244;244;244;0;0;0;0,956862745
N9;236;236;236;0;0;0;0,925490196
N8;206;206;206;0;0;0;0,807843137
N7;180;180;180;0;0;0;0,705882353
N6;152;152;152;0;0;0;0,596078431
N5;126;126;126;0;0;0;0,494117647
N4;86;86;86;0;0;0;0,337254902
N3;60;60;60;0;0;0;0,235294118
N2;38;38;38;0;0;0;0,149019608
N1.5;10;10;10;0;0;0;0,039215686
